data,exam_period,screen_time
2019-12-15,True,70.0
2019-12-16,True,70.0
2019-12-17,True,50.0
2019-12-18,True,77.0
2019-12-19,True,85.0
2019-12-20,True,78.0
2019-12-21,True,55.0
2019-12-22,True,76.0
2019-12-23,True,82.0
2019-12-24,True,75.0
2019-12-25,True,78.0
2019-12-26,True,110.0
2019-12-27,True,74.0
2019-12-28,True,37.0
2019-12-29,True,84.0
2019-12-30,True,77.0
2019-12-31,True,80.0
2020-01-01,True,80.0
2020-01-02,True,84.0
2020-01-03,True,75.0
2020-01-04,True,73.0
2020-01-05,True,
2020-01-06,True,
2020-01-07,True,
2020-01-08,True,
2020-01-09,True,103.0
2020-01-10,True,117.0
2020-01-11,True,72.0
2020-01-12,True,27.0
2020-01-13,True,72.0
2020-01-14,True,71.0
2020-01-15,True,75.0
2020-01-16,True,46.0
2020-01-17,True,41.0
2020-01-18,True,102.0
2020-01-19,True,42.0
2020-01-20,True,71.0
2020-01-21,True,75.0
2020-01-22,True,77.0
2020-01-23,True,80.0
2020-01-24,True,81.0
2020-01-25,True,73.0
2020-01-26,True,70.0
2020-01-27,True,72.0
2020-01-28,True,72.0
2020-01-29,True,72.0
2020-01-30,True,51.0
2020-01-31,True,73.0
2020-02-01,True,78.0
2020-02-02,True,77.0
2020-02-03,True,125.0
2020-02-04,True,80.0
2020-02-05,True,73.0
2020-02-06,True,74.0
2020-02-07,True,40.0
2020-02-08,True,85.0
2020-02-09,True,118.0
2020-02-10,True,85.0
2020-02-11,True,103.0
2020-02-12,True,72.0
2020-02-13,True,78.0
2020-02-14,True,78.0
2020-02-15,True,72.0
2020-02-16,True,84.0
2020-02-17,True,84.0
2020-02-18,True,118.0
2020-02-19,True,104.0
2020-02-20,True,90.0
2020-02-21,True,79.0
2020-02-22,True,73.0
2020-02-23,True,74.0
2020-02-24,True,120.0
2020-02-25,True,48.0
2020-02-26,True,50.0
2020-02-27,True,74.0
2020-02-28,True,81.0
2020-02-29,True,82.0
2020-03-01,True,84.0
2020-03-02,True,79.0
2020-03-03,True,75.0
2020-03-04,True,80.0
2020-03-05,True,85.0
2020-03-06,True,85.0
2020-03-07,True,71.0
2020-03-08,True,82.0
2020-03-09,True,75.0
2020-03-10,True,78.0
